,size,average,upper,lower
0,1000,0.0,,
1,10000,0.0,,
2,100000,0.0101,0.01158722377687713,0.00861277622312287
3,200000,0.0173,0.019790656838081507,0.014809343161918493
4,400000,0.032225000000000004,0.035039406467920066,0.029410593532079945
5,600000,0.04996666666666667,0.05170153348682546,0.048231799846507876
6,800000,0.0667125,0.06857584969379192,0.06484915030620807
7,1000000,0.08351,0.08504517732813782,0.0819748226718622
