,size,average,upper,lower
0,1000,0.0,,
1,21387,0.012156917753775658,0.016387819072784384,0.00792601643476693
2,41775,0.0248952722920407,0.02902718087493802,0.020763363709143383
3,62163,0.034264755561990254,0.04008348097600317,0.02844603014797734
4,82551,0.04324599338590689,0.04781409784848042,0.038677888923333376
5,102938,0.046630010297460604,0.05020367886188827,0.04305634173303294
6,123326,0.06040899729173085,0.06580380764374887,0.055014186939712835
7,143714,0.07041763502511933,0.08064787100348199,0.06018739904675668
8,164102,0.07854870751118206,0.08418562225635903,0.07291179276600511
9,184489,0.09041189447609342,0.09384518321183093,0.08697860574035592
10,204877,0.10064575330564192,0.10360759425537759,0.09768391235590625
11,225265,0.11173506758706411,0.11673167397896471,0.10673846119516352
12,245653,0.1218385283306127,0.12491745979382664,0.11875959686739876
13,266040,0.13212298902420688,0.13631026616695807,0.12793571188145567
14,286428,0.1411174885136928,0.14544458493449733,0.1367903920928883
15,306816,0.15667370671672926,0.16118143743347305,0.15216597599998544
16,327204,0.162711947286708,0.16589220270797686,0.15953169186543914
17,347591,0.1762703867476431,0.18107155383388557,0.17146921966140058
18,367979,0.18810856054285705,0.19275688565650567,0.18346023542920845
19,388367,0.19700437987779598,0.2029890686824159,0.19101969107317607
20,408755,0.2031290137123705,0.20936638287280054,0.19689164455194047
21,429142,0.2121908365995405,0.2176056064014705,0.2067760667976105
22,449530,0.22323315462816723,0.22758945401121616,0.21887685524511832
23,469918,0.23444515851701783,0.23876106168809527,0.23012925534594042
24,490306,0.24297071624658886,0.24746768540069541,0.2384737470924823
25,510693,0.2537728145872374,0.2564289234489357,0.25111670572553907
26,531081,0.26574100749226576,0.2736057280378998,0.2578762869466318
27,551469,0.27535545969039055,0.2818753789978126,0.26883554038296853
28,571857,0.2857882302743518,0.2905959987827886,0.280980461765915
29,592244,0.2949797718507913,0.2984183882440217,0.29154115545756076
30,612632,0.3064319199780619,0.3113454415232221,0.3015183984329017
31,633020,0.31253356923951847,0.31619587949886635,0.30887125898017065
32,653408,0.3280645477251579,0.333116299732325,0.3230127957179909
33,673795,0.3350722400730193,0.3408254034371264,0.3293190767089121
34,694183,0.34734356790644555,0.3538406897077091,0.34084644610518194
35,714571,0.35757118606828425,0.3631133082365313,0.35202906390003713
36,734959,0.36593878025849064,0.37038003637367584,0.3614975241433054
37,755346,0.37597339497395893,0.38115958204045997,0.37078720790745795
38,775734,0.39027553259235764,0.39448827972247147,0.3860627854622438
39,796122,0.39620811885615526,0.40143433935191963,0.3909818983603909
40,816510,0.4087886247565859,0.4159714405112412,0.40160580900193066
41,836897,0.4178889397381039,0.42409781249653733,0.4116800669796705
42,857285,0.429227153163767,0.43532120877674596,0.42313309755078804
43,877673,0.4387511066194357,0.4427255069376008,0.4347767063012707
44,898061,0.44763106292334254,0.45366132728376873,0.4416007985629164
45,918448,0.4635755099907672,0.46730925163286857,0.45984176834866575
46,938836,0.47230826257195074,0.4778091580308364,0.4668073671130651
47,959224,0.48077404235090015,0.4847696069003047,0.4767784778014957
48,979612,0.4896734625545624,0.4935396184820266,0.4858073066270982
49,1000000,0.49705,0.5020068550086173,0.49209314499138274
